FlightName,FlightCode,DepartingCity,DepartingTime,ArrivingCity,ArrivingTime,Duration,Price
AirAsia,I5 740,New Delhi,0.3,Bengaluru,1.4,155,5230
AirAsia,I5 1534,New Delhi,2,Bengaluru,3.2,155,5235
IndiGo,6E 2067,New Delhi,2,Bengaluru,4.55,155,5235
IndiGo,6E 6612,New Delhi,3.3,Bengaluru,4.55,155,5236
IndiGo,6E 6612,New Delhi,3.55,Bengaluru,6.25,155,5236
IndiGo,6E 6612,New Delhi,4.25,Bengaluru,6.45,155,5236
IndiGo,6E 2403,New Delhi,4.3,Bengaluru,7.1,155,5236
IndiGo,6E 2403,New Delhi,5.35,Bengaluru,7.15,160,5236
IndiGo,6E 308,New Delhi,5.45,Bengaluru,8.25,160,5236
IndiGo,6E 2131,New Delhi,5.5,Bengaluru,8.35,160,5236
IndiGo,6E 6565,New Delhi,5.5,Bengaluru,8.35,160,5236
Air India,AI 514,New Delhi,5.5,Bengaluru,8.35,160,5236
Air India,AI 803,New Delhi,6.1,Bengaluru,8.4,160,5240
Air India,AI 803,New Delhi,6.1,Bengaluru,9,160,5240
Air India,AI 504,New Delhi,6.15,Bengaluru,9,160,5240
SpiceJet,SG 534,New Delhi,7,Bengaluru,9.05,160,5240
SpiceJet,SG 534,New Delhi,7,Bengaluru,9.4,160,5297
SpiceJet,SG 8143,New Delhi,7.05,Bengaluru,9.45,160,5297
Akasa Air,QP 1350,New Delhi,7.05,Bengaluru,9.5,160,5297
Akasa Air,QP 1350,New Delhi,7.05,Bengaluru,9.5,160,5354
Air India,AI 813,New Delhi,7.5,Bengaluru,10,160,5354
IndiGo,6E 2338,New Delhi,8,Bengaluru,10.35,160,5354
Vistara,UK 813,New Delhi,8,Bengaluru,10.4,160,5354
IndiGo,6E 781,New Delhi,8,Bengaluru,10.45,165,5354
IndiGo,6E 2302,New Delhi,8,Bengaluru,10.45,165,5354
IndiGo,6E 2302,New Delhi,8,Bengaluru,10.5,165,5354
Air India,AI 502,New Delhi,8,Bengaluru,10.55,165,5354
Air India,AI 815,New Delhi,9.1,Bengaluru,11,165,5354
Air India,AI 807,New Delhi,9.15,Bengaluru,11.5,165,5354
Vistara,UK 811,New Delhi,9.2,Bengaluru,12.05,165,5354
Vistara,UK 817,New Delhi,9.4,Bengaluru,12.05,165,5368
Vistara,UK 817,New Delhi,9.45,Bengaluru,12.3,165,5368
IndiGo,6E 6383,New Delhi,9.5,Bengaluru,12.35,165,5400
IndiGo,6E 2514,New Delhi,10.3,Bengaluru,12.4,165,5400
IndiGo,6E 2487,New Delhi,10.4,Bengaluru,13.2,165,5503
IndiGo,6E 6622,New Delhi,11.15,Bengaluru,13.35,165,5513
Air India,AI 512,New Delhi,11.15,Bengaluru,14.05,165,5513
Air India,AI 512,New Delhi,11.3,Bengaluru,14.05,165,5513
IndiGo,6E 5608,New Delhi,11.3,Bengaluru,14.1,165,5513
IndiGo,6E 6797,New Delhi,11.45,Bengaluru,14.1,165,5513
Vistara,UK 819,New Delhi,11.45,Bengaluru,14.35,165,5552
Air India,AI 506,New Delhi,12,Bengaluru,14.4,165,5596
Vistara,UK 809,New Delhi,13.15,Bengaluru,14.45,165,5596
Vistara,UK 809,New Delhi,13.15,Bengaluru,15.55,165,5596
Vistara,UK 815,New Delhi,13.15,Bengaluru,15.55,165,5599
Vistara,UK 801,New Delhi,13.4,Bengaluru,16.1,165,5618
Vistara,UK 807,New Delhi,13.5,Bengaluru,16.2,165,5618
IndiGo,6E 6247,Bengaluru,14.1,New Delhi,16.35,165,5717
